BOARD_DATE,TKT_BEG,STOP_NAME,IN,OUT
20060704,175,"台南  ",20290,20213
20060705,175,"台南  ",19594,19803
20060706,175,"台南  ",20171,20440
20060707,175,"台南  ",23693,23477
20060708,175,"台南  ",18747,18769
20060709,175,"台南  ",21849,21995
20060710,175,"台南  ",19896,20951
20060711,175,"台南  ",19545,19300
20060712,175,"台南  ",19267,19301
20060713,175,"台南  ",13691,14060
20060714,175,"台南  ",14887,14262
20060715,175,"台南  ",14210,13423
20060716,175,"台南  ",17708,17911
20060717,175,"台南  ",20191,20223
20060718,175,"台南  ",18673,18631
20060719,175,"台南  ",18601,18493
20060720,175,"台南  ",19563,19667
20060721,175,"台南  ",25357,24331
20060722,175,"台南  ",23242,22640
20060723,175,"台南  ",24316,25745
20060724,175,"台南  ",19467,20088
20060725,175,"台南  ",10240,10239
20060726,175,"台南  ",15666,15794
20060727,175,"台南  ",17970,18471
20060728,175,"台南  ",23584,22786
20060729,175,"台南  ",20302,19776
20060730,175,"台南  ",22115,22304
20060731,175,"台南  ",20494,21224
20060801,175,"台南  ",18000,18190
20060802,175,"台南  ",17244,17324
20060803,175,"台南  ",17182,17352
20060804,175,"台南  ",22524,21780
20060805,175,"台南  ",21385,19929
20060806,175,"台南  ",22104,22792
20060807,175,"台南  ",19499,19524
20060808,175,"台南  ",16988,17112
20060809,175,"台南  ",17146,17959
20060810,175,"台南  ",17628,18299
20060811,175,"台南  ",23415,23049
20060812,175,"台南  ",21730,21240
20060813,175,"台南  ",24708,24678
20060814,175,"台南  ",19606,20182
20060815,175,"台南  ",19029,19082
20060816,175,"台南  ",19037,19032
20060817,175,"台南  ",19529,19468
20060818,175,"台南  ",23648,23116
20060819,175,"台南  ",21611,20841
20060820,175,"台南  ",25005,25572
20060821,175,"台南  ",21147,21788
20060822,175,"台南  ",19423,19618
20060823,175,"台南  ",19099,19273
20060824,175,"台南  ",19516,19880
20060825,175,"台南  ",25681,25511
20060826,175,"台南  ",21509,21105
20060827,175,"台南  ",23125,23350
20060828,175,"台南  ",20598,21089
20060829,175,"台南  ",18648,19219
20060830,175,"台南  ",17005,17246
20060831,175,"台南  ",16834,16744
20060901,175,"台南  ",21808,21486
20060902,175,"台南  ",18845,17654
20060903,175,"台南  ",19551,20261
20060904,175,"台南  ",19406,19409
20060905,175,"台南  ",16893,17136
20060906,175,"台南  ",17071,16982
20060907,175,"台南  ",16641,16922
20060908,175,"台南  ",22940,22581
20060909,175,"台南  ",20687,20121
20060910,175,"台南  ",23190,24021
20060911,175,"台南  ",18220,18942
20060912,175,"台南  ",18218,17794
20060913,175,"台南  ",17847,17320
20060914,175,"台南  ",17484,17584
20060915,175,"台南  ",25588,24863
20060916,175,"台南  ",19914,19636
20060917,175,"台南  ",25621,28020
20060918,175,"台南  ",18137,18749
20060919,175,"台南  ",16820,16592
20060920,175,"台南  ",16749,16414
20060921,175,"台南  ",17127,16944
20060922,175,"台南  ",29732,26908
20060923,175,"台南  ",21515,20178
20060924,175,"台南  ",25635,29112
20060925,175,"台南  ",17798,18500
20060926,175,"台南  ",16363,16548
20060927,175,"台南  ",16997,16598
20060928,175,"台南  ",16622,16492
20060929,175,"台南  ",25435,24303
20060930,175,"台南  ",20216,19245
20061001,175,"台南  ",23080,24624
20061002,175,"台南  ",17053,17824
20061003,175,"台南  ",16377,16209
20061004,175,"台南  ",16841,16821
20061005,175,"台南  ",33345,31711
20061006,175,"台南  ",31894,27215
20061007,175,"台南  ",22199,22500
20061008,175,"台南  ",24557,26046
20061009,175,"台南  ",26585,28868
20061010,175,"台南  ",29348,33336
